id,source_term,type,pinyin,label,curated_gloss
PRE_03197,救母丹,PRE,Jiumudan,Jiumudan,False
PRE_03198,散肿溃坚汤,PRE,Sanzhongkuijian Tang,Sanzhongkuijian Tang,False
PRE_03199,散风除湿活血汤,PRE,Sanfengchushihuoxue Tang,Sanfengchushihuoxue Tang,False
PRE_03200,旋复花,PRE,Xuanfuhua,Xuanfuhua,False
PRE_03201,无比山药丸,PRE,Wubishanyao Wan,Wubishanyao Wan,False
PRE_03202,更衣丸,PRE,Gengyi Wan,Gengyi Wan,False
PRE_03203,末粥丸,PRE,Mozhou Wan,Mozhou Wan,False
PRE_03204,杞子菟丝饼,PRE,Qizitusibing,Qizitusibing,False
PRE_03205,枳壳竹沥来复丹,PRE,Zhikezhulilaifudan,Zhikezhulilaifudan,False
PRE_03206,枳术丸,PRE,Zhishu Wan,Zhishu Wan,False
PRE_03207,柏叶汤,PRE,Baiye Tang,Baiye Tang,False
PRE_03208,柴胡截疟饮,PRE,Chaihujienve Yin,Chaihujienve Yin,False
PRE_03209,柴胡疏肝汤,PRE,Chaihushugan Tang,Chaihushugan Tang,False
PRE_03210,柴胡调经汤,PRE,Chaihutiaojing Tang,Chaihutiaojing Tang,False
PRE_03211,柴芍六子君汤,PRE,Chaishaoliuzijun Tang,Chaishaoliuzijun Tang,False
PRE_03212,柴芩清胆汤,PRE,Chaiqinqingdan Tang,Chaiqinqingdan Tang,False
PRE_03213,柴芩温胆汤,PRE,Chaiqinwendan Tang,Chaiqinwendan Tang,False
PRE_03214,栀子大黄汤,PRE,Zhizidahuang Tang,Zhizidahuang Tang,False
